"term","sum(count)"
"account",1060
"air",1496
"already",1008
"also",5754
"always",2031
"among",1064
"animal",1374
"animals",2703
"another",3370
"anything",1801
"argument",1069
"bad",1330
"become",1227
"belong",1366
"belongs",1318
"best",1335
"better",1581
"bodies",1076
"body",2946
"call",1284
"called",1777
"can",4473
"case",3138
"cases",1260
"cause",1515
"certain",1354
"change",1165
"city",1136
"clear",1363
"come",2258
"comes",1260
"common",980
"contrary",1375
"different",1940
"earth",1404
"either",3222
"else",1880
"end",1179
"even",2966
"every",2454
"everything",1223
"fact",1643
"far",1160
"find",956
"first",3236
"form",1510
"found",1145
"general",1035
"give",1355
"given",1021
"god",1043
"gods",1096
"good",5115
"great",1379
"greater",1089
"hand",1121
"heat",1248
"however",1244
"impossible",1126
"indeed",1026
"just",3605
"kind",2580
"know",2217
"knowledge",1811
"less",1556
"let",1423
"life",1785
"like",3876
"long",1120
"made",1659
"make",2546
"makes",1228
"man",6407
"many",3011
"matter",1539
"may",3362
"mean",1387
"means",1078
"men",2876
"might",1105
"motion",2147
"movement",1388
"much",1689
"must",7016
"name",1160
"natural",1207
"nature",3144
"necessary",1214
"neither",1666
"never",1142
"nothing",1805
"now",5010
"number",1657
"one",14760
"ones",1057
"opposite",1020
"others",3189
"part",3150
"particular",1089
"parts",2345
"people",2678
"person",1044
"place",2052
"pleasure",1257
"point",1703
"possible",2031
"power",1217
"present",1250
"put",974
"question",1146
"rather",1183
"reason",2280
"rest",1194
"right",2046
"said",4179
"say",4851
"see",2079
"seems",1220
"sense",1692
"shall",1356
"since",3038
"small",1105
"socrates",1955
"something",3397
"sort",1529
"soul",2227
"state",1935
"still",1169
"subject",1179
"suppose",1160
"take",1949
"therefore",2392
"thing",4746
"things",8209
"think",2854
"though",1787
"thought",1459
"thus",1544
"time",3708
"together",1243
"true",2300
"two",3414
"upon",1287
"use",1293
"virtue",1064
"water",2034
"way",4069
"well",3217
"whereas",942
"whether",2450
"whole",1923
"will",8857
"without",2172
"yet",1677
"young",1042
